id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
3723,20000 - 35000,off-road,ciudad,Comercio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3724,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,La Rioja,"Si, grande",hibrido,uso particular habitual,Manual,Si
3725,20000 - 35000,buen clima,montaña,Servicios Financieros,Andalucía,No,diesel,uso particular habitual,Manual,Si
3726,20000 - 35000,off-road,ciudad,Otros,Cantabria,No,hibrido,uso particular habitual,Automatico,No
3727,12000 - 20000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3728,- 12000,buen clima,montaña,Tecnología,Asturias,"Si, grande",gasolina,viajes largos,Automatico,No
3729,+ 100000,buen clima,montaña,Comercio,Baleares,No,diesel,uso particular habitual,Automatico,Si
3730,20000 - 35000,buen clima,montaña,Educación,Cantabria,No,diesel,uso particular ocasional,Manual,Si
3731,60000 - 100000,buen clima,montaña,Servicios Financieros,Baleares,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
3732,+ 100000,nieve,playa,Servicios Financieros,Murcia,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3733,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,No
3734,20000 - 35000,buen clima,ciudad,Educación,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3735,- 12000,buen clima,ciudad,Tecnología,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3736,+ 100000,buen clima,ciudad,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
3737,12000 - 20000,buen clima,montaña,Salud,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,No
3738,12000 - 20000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,"Si, grande",hibrido,uso particular ocasional,Automatico,Si
3739,20000 - 35000,buen clima,montaña,Comercio,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
3740,12000 - 20000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
3741,- 12000,buen clima,ciudad,Tecnología,Extremadura,"Si, grande",diesel,uso particular ocasional,Automatico,No
3742,35000-60000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,viajes largos,Manual,No
3743,60000 - 100000,buen clima,montaña,Energía,Castilla-La Mancha,"Si, pequeña",gasolina,viajes largos,Automatico,Si
3744,12000 - 20000,buen clima,playa,Turismo y Ocio,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3745,20000 - 35000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
3746,12000 - 20000,buen clima,montaña,Tecnología,Extremadura,No,diesel,uso particular habitual,Automatico,Si
3747,- 12000,buen clima,playa,Tecnología,Madrid,"Si, grande",diesel,viajes largos,Manual,Si
3748,20000 - 35000,buen clima,ciudad,Energía,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,No
3749,35000-60000,off-road,montaña,Turismo y Ocio,Cataluña,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3750,20000 - 35000,off-road,ciudad,Tecnología,Andalucía,"Si, grande",hibrido,uso particular ocasional,Automatico,No
3751,35000-60000,buen clima,montaña,Educación,Andalucía,No,gasolina,uso particular ocasional,Automatico,Si
3752,- 12000,off-road,montaña,Energía,Murcia,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
3753,60000 - 100000,buen clima,montaña,Comercio,Castilla y León,"Si, pequeña",diesel,viajes largos,Manual,Si
3754,35000-60000,buen clima,playa,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3755,20000 - 35000,off-road,ciudad,Transporte y Logística,Castilla y León,No,electrico,viajes largos,Manual,No
3756,+ 100000,buen clima,montaña,Transporte y Logística,Baleares,"Si, grande",gasolina,viajes largos,Manual,Si
3757,20000 - 35000,buen clima,playa,Educación,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3758,20000 - 35000,buen clima,montaña,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
3759,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Valencia,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3760,20000 - 35000,buen clima,playa,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3761,+ 100000,buen clima,playa,Tecnología,Asturias,No,diesel,uso particular ocasional,Automatico,Si
3762,35000-60000,nieve,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3763,20000 - 35000,buen clima,montaña,Otros,La Rioja,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3764,20000 - 35000,buen clima,montaña,Educación,Canarias,"Si, grande",gasolina,uso particular ocasional,Automatico,No
3765,20000 - 35000,off-road,montaña,Energía,Canarias,No,diesel,uso particular habitual,Manual,Si
3766,12000 - 20000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3767,20000 - 35000,off-road,montaña,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3768,12000 - 20000,nieve,ciudad,Energía,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3769,20000 - 35000,buen clima,ciudad,Comercio,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
3770,+ 100000,buen clima,montaña,Salud,Canarias,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
3771,- 12000,buen clima,playa,Servicios Financieros,Navarra,"Si, grande",electrico,uso particular ocasional,Manual,Si
3772,35000-60000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3773,35000-60000,nieve,montaña,Energía,Baleares,"Si, grande",gasolina,viajes largos,Manual,No
3774,20000 - 35000,buen clima,playa,Comercio,Canarias,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
3775,20000 - 35000,off-road,montaña,Salud,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
3776,20000 - 35000,nieve,montaña,Industria Construccion y Manufactura,Canarias,"Si, pequeña",diesel,viajes largos,Manual,Si
3777,- 12000,buen clima,montaña,Educación,Cantabria,No,electrico,uso particular habitual,Manual,Si
3778,60000 - 100000,buen clima,playa,Comercio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3779,- 12000,nieve,ciudad,Comercio,Asturias,No,diesel,uso particular habitual,Manual,Si
3780,35000-60000,buen clima,ciudad,Servicios Financieros,Extremadura,"Si, pequeña",gasolina,uso particular habitual,Manual,No
3781,+ 100000,buen clima,montaña,Comercio,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3782,35000-60000,nieve,ciudad,Industria Construccion y Manufactura,Asturias,"Si, pequeña",electrico,uso particular ocasional,Manual,No
3783,35000-60000,nieve,ciudad,Industria Construccion y Manufactura,Asturias,"Si, grande",diesel,uso particular habitual,Manual,Si
3784,12000 - 20000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
3785,20000 - 35000,buen clima,ciudad,Salud,Asturias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3786,35000-60000,nieve,playa,Servicios Financieros,Andalucía,No,gasolina,uso particular ocasional,Manual,No
3787,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,No,diesel,uso particular habitual,Manual,Si
3788,- 12000,buen clima,montaña,Servicios Financieros,Cataluña,"Si, grande",gasolina,uso particular ocasional,Automatico,No
3789,60000 - 100000,buen clima,montaña,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3790,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Aragón,"Si, grande",hibrido,viajes largos,Automatico,Si
3791,20000 - 35000,buen clima,ciudad,Salud,Baleares,"Si, pequeña",electrico,uso particular habitual,Manual,No
3792,20000 - 35000,nieve,montaña,Transporte y Logística,Asturias,"Si, pequeña",electrico,uso particular ocasional,Manual,No
3793,12000 - 20000,buen clima,montaña,Servicios Financieros,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3794,20000 - 35000,buen clima,ciudad,Entretenimiento y Medios,Castilla y León,No,diesel,uso particular habitual,Manual,Si
3795,+ 100000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, grande",diesel,viajes largos,Manual,Si
3796,12000 - 20000,nieve,ciudad,Salud,Aragón,"Si, grande",electrico,uso particular habitual,Manual,Si
3797,12000 - 20000,nieve,montaña,Tecnología,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,Si
3798,20000 - 35000,buen clima,playa,Tecnología,Andalucía,No,gasolina,uso particular habitual,Manual,No
3799,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,No,diesel,uso particular ocasional,Manual,Si
3800,12000 - 20000,off-road,montaña,Tecnología,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3801,- 12000,buen clima,montaña,Tecnología,Asturias,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
3802,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3803,20000 - 35000,buen clima,montaña,Salud,Aragón,No,gasolina,uso particular habitual,Manual,Si
3804,35000-60000,off-road,montaña,Salud,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3805,12000 - 20000,buen clima,montaña,Tecnología,Baleares,"Si, grande",gasolina,viajes largos,Manual,Si
3806,35000-60000,buen clima,montaña,Tecnología,Madrid,"Si, grande",gasolina,uso particular habitual,Automatico,Si
3807,35000-60000,buen clima,montaña,Servicios Financieros,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,No
3808,20000 - 35000,buen clima,montaña,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular ocasional,Automatico,Si
3809,12000 - 20000,buen clima,montaña,Salud,Andalucía,"Si, grande",gasolina,uso particular ocasional,Manual,Si
3810,12000 - 20000,off-road,playa,Transporte y Logística,Asturias,No,diesel,uso particular ocasional,Manual,Si
3811,20000 - 35000,buen clima,montaña,Salud,Asturias,No,diesel,uso particular habitual,Manual,No
3812,35000-60000,nieve,playa,Transporte y Logística,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,No
3813,+ 100000,buen clima,ciudad,Comercio,Cantabria,No,hibrido,uso particular ocasional,Manual,Si
3814,35000-60000,buen clima,ciudad,Educación,Canarias,"Si, grande",gasolina,uso particular ocasional,Manual,Si
3815,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Galicia,No,diesel,uso particular habitual,Automatico,Si
3816,35000-60000,buen clima,montaña,Tecnología,Madrid,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
3817,12000 - 20000,buen clima,playa,Servicios Financieros,Galicia,"Si, grande",diesel,uso particular habitual,Manual,Si
3818,60000 - 100000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
3819,+ 100000,buen clima,playa,Comercio,Madrid,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3820,- 12000,off-road,montaña,Energía,Baleares,"Si, grande",gasolina,uso particular habitual,Manual,No
3821,35000-60000,off-road,playa,Comercio,Asturias,No,gasolina,uso particular ocasional,Manual,Si
3822,35000-60000,buen clima,playa,Tecnología,Baleares,No,gasolina,viajes largos,Manual,Si
3823,- 12000,nieve,montaña,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3824,20000 - 35000,off-road,ciudad,Industria Construccion y Manufactura,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3825,12000 - 20000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3826,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,La Rioja,"Si, pequeña",electrico,viajes largos,Automatico,Si
3827,20000 - 35000,off-road,montaña,Comercio,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
3828,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3829,35000-60000,buen clima,ciudad,Energía,Castilla y León,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3830,12000 - 20000,buen clima,montaña,Comercio,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3831,12000 - 20000,buen clima,montaña,Otros,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3832,12000 - 20000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3833,60000 - 100000,buen clima,playa,Turismo y Ocio,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,No
3834,35000-60000,nieve,ciudad,Industria Construccion y Manufactura,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3835,20000 - 35000,buen clima,montaña,Servicios Financieros,País Vasco,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3836,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3837,20000 - 35000,buen clima,ciudad,Otros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,No
3838,35000-60000,buen clima,playa,Transporte y Logística,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
3839,35000-60000,nieve,montaña,Entretenimiento y Medios,Cantabria,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
3840,+ 100000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3841,20000 - 35000,nieve,ciudad,Transporte y Logística,Baleares,No,diesel,uso particular ocasional,Manual,No
3842,+ 100000,nieve,playa,Transporte y Logística,Baleares,No,diesel,uso particular ocasional,Manual,No
3843,60000 - 100000,buen clima,playa,Educación,Baleares,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3844,35000-60000,buen clima,playa,Entretenimiento y Medios,Andalucía,"Si, grande",diesel,viajes largos,Manual,Si
3845,35000-60000,off-road,ciudad,Salud,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3846,- 12000,buen clima,ciudad,Entretenimiento y Medios,Castilla-La Mancha,No,gasolina,uso particular habitual,Manual,Si
3847,20000 - 35000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, pequeña",gasolina,viajes largos,Automatico,No
3848,12000 - 20000,buen clima,playa,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No
3849,12000 - 20000,buen clima,montaña,Comercio,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3850,12000 - 20000,nieve,montaña,Servicios Financieros,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3851,20000 - 35000,buen clima,playa,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3852,+ 100000,off-road,montaña,Comercio,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3853,60000 - 100000,off-road,montaña,Entretenimiento y Medios,Canarias,"Si, grande",gasolina,uso particular ocasional,Manual,Si
3854,+ 100000,buen clima,montaña,Tecnología,Valencia,No,gasolina,uso particular ocasional,Automatico,No
3855,- 12000,nieve,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",electrico,uso particular ocasional,Manual,No
3856,35000-60000,nieve,montaña,Otros,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,No
3857,20000 - 35000,buen clima,ciudad,Tecnología,Baleares,No,diesel,uso particular ocasional,Manual,Si
3858,- 12000,buen clima,playa,Entretenimiento y Medios,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3859,35000-60000,buen clima,montaña,Servicios Financieros,Baleares,"Si, grande",electrico,uso particular ocasional,Automatico,Si
3860,60000 - 100000,buen clima,ciudad,Salud,Andalucía,No,diesel,viajes largos,Manual,Si
3861,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
3862,12000 - 20000,nieve,playa,Tecnología,Canarias,No,diesel,uso particular ocasional,Automatico,No
3863,35000-60000,buen clima,montaña,Turismo y Ocio,Cataluña,"Si, grande",diesel,uso particular ocasional,Manual,No
3864,20000 - 35000,buen clima,playa,Salud,Asturias,No,diesel,uso particular ocasional,Manual,Si
3865,12000 - 20000,buen clima,montaña,Servicios Financieros,Asturias,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
3866,12000 - 20000,buen clima,playa,Tecnología,Asturias,"Si, pequeña",electrico,uso particular habitual,Automatico,Si
3867,35000-60000,nieve,montaña,Educación,Madrid,"Si, grande",hibrido,uso particular ocasional,Manual,Si
3868,60000 - 100000,buen clima,montaña,Servicios Financieros,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3869,60000 - 100000,buen clima,ciudad,Tecnología,Andalucía,"Si, grande",gasolina,uso particular ocasional,Manual,Si
3870,35000-60000,buen clima,playa,Industria Construccion y Manufactura,Galicia,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3871,20000 - 35000,off-road,montaña,Energía,Asturias,"Si, grande",gasolina,viajes largos,Manual,No
3872,20000 - 35000,buen clima,ciudad,Servicios Financieros,Cantabria,"Si, grande",gasolina,uso particular habitual,Automatico,No
3873,12000 - 20000,buen clima,ciudad,Transporte y Logística,Extremadura,"Si, pequeña",electrico,uso particular ocasional,Manual,No
3874,12000 - 20000,buen clima,ciudad,Comercio,Asturias,No,diesel,uso particular ocasional,Automatico,Si
3875,12000 - 20000,buen clima,montaña,Transporte y Logística,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3876,+ 100000,nieve,montaña,Otros,Asturias,"Si, grande",hibrido,uso particular ocasional,Manual,Si
3877,35000-60000,buen clima,ciudad,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3878,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,Si
3879,12000 - 20000,nieve,ciudad,Tecnología,Castilla-La Mancha,"Si, grande",electrico,uso particular ocasional,Manual,Si
3880,12000 - 20000,buen clima,playa,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
3881,35000-60000,buen clima,playa,Transporte y Logística,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3882,12000 - 20000,buen clima,montaña,Tecnología,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3883,12000 - 20000,nieve,playa,Comercio,Galicia,"Si, grande",electrico,uso particular habitual,Manual,Si
3884,20000 - 35000,buen clima,montaña,Servicios Financieros,Cataluña,No,diesel,uso particular habitual,Manual,No
3885,12000 - 20000,buen clima,montaña,Salud,Asturias,No,diesel,uso particular habitual,Automatico,No
3886,- 12000,buen clima,playa,Servicios Financieros,Canarias,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3887,20000 - 35000,nieve,montaña,Tecnología,Andalucía,"Si, grande",gasolina,uso particular habitual,Manual,Si
3888,60000 - 100000,buen clima,playa,Tecnología,Baleares,"Si, pequeña",diesel,viajes largos,Manual,Si
3889,- 12000,nieve,playa,Comercio,Navarra,"Si, grande",hibrido,uso particular habitual,Manual,Si
3890,60000 - 100000,buen clima,ciudad,Energía,Baleares,"Si, grande",gasolina,viajes largos,Manual,No
3891,20000 - 35000,nieve,montaña,Transporte y Logística,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,No
3892,60000 - 100000,buen clima,montaña,Otros,Murcia,"Si, pequeña",hibrido,uso particular habitual,Manual,No
3893,60000 - 100000,buen clima,ciudad,Tecnología,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,No
3894,- 12000,off-road,ciudad,Entretenimiento y Medios,Aragón,"Si, pequeña",electrico,viajes largos,Manual,Si
3895,20000 - 35000,off-road,ciudad,Industria Construccion y Manufactura,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
3896,20000 - 35000,buen clima,montaña,Energía,Aragón,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
3897,35000-60000,nieve,montaña,Tecnología,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
3898,12000 - 20000,buen clima,ciudad,Otros,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3899,20000 - 35000,buen clima,ciudad,Tecnología,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,No
3900,35000-60000,buen clima,playa,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3901,20000 - 35000,nieve,montaña,Salud,Extremadura,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3902,20000 - 35000,buen clima,playa,Turismo y Ocio,Cantabria,"Si, pequeña",electrico,viajes largos,Automatico,No
3903,20000 - 35000,buen clima,montaña,Salud,Cataluña,"Si, pequeña",gasolina,viajes largos,Automatico,Si
3904,12000 - 20000,buen clima,ciudad,Energía,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
3905,60000 - 100000,buen clima,ciudad,Comercio,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
3906,+ 100000,buen clima,montaña,Educación,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,No
3907,12000 - 20000,buen clima,ciudad,Tecnología,Asturias,No,diesel,uso particular habitual,Manual,Si
3908,12000 - 20000,nieve,montaña,Turismo y Ocio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3909,12000 - 20000,buen clima,ciudad,Servicios Financieros,Cataluña,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3910,12000 - 20000,buen clima,montaña,Turismo y Ocio,Valencia,"Si, grande",diesel,viajes largos,Manual,No
3911,20000 - 35000,buen clima,ciudad,Salud,Canarias,"Si, grande",gasolina,uso particular habitual,Automatico,No
3912,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Andalucía,No,gasolina,uso particular ocasional,Manual,No
3913,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,No
3914,20000 - 35000,nieve,ciudad,Industria Construccion y Manufactura,Castilla y León,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3915,12000 - 20000,buen clima,playa,Energía,Castilla-La Mancha,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
3916,35000-60000,buen clima,playa,Energía,Cantabria,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
3917,12000 - 20000,buen clima,montaña,Comercio,Asturias,No,diesel,viajes largos,Automatico,Si
3918,12000 - 20000,nieve,playa,Entretenimiento y Medios,Asturias,"Si, grande",electrico,uso particular habitual,Manual,No
3919,20000 - 35000,buen clima,ciudad,Industria Construccion y Manufactura,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3920,+ 100000,buen clima,ciudad,Turismo y Ocio,Madrid,No,hibrido,uso particular ocasional,Automatico,Si
3921,60000 - 100000,buen clima,playa,Energía,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3922,12000 - 20000,buen clima,montaña,Otros,Madrid,"Si, pequeña",diesel,viajes largos,Manual,Si
3923,35000-60000,buen clima,montaña,Tecnología,Cantabria,"Si, grande",hibrido,uso particular ocasional,Automatico,No
3924,35000-60000,buen clima,montaña,Salud,Aragón,No,gasolina,uso particular ocasional,Manual,No
3925,20000 - 35000,buen clima,ciudad,Comercio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3926,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
3927,+ 100000,nieve,playa,Servicios Financieros,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3928,+ 100000,buen clima,ciudad,Comercio,Andalucía,No,gasolina,viajes largos,Manual,No
3929,- 12000,buen clima,montaña,Salud,Asturias,"Si, pequeña",electrico,uso particular ocasional,Manual,No
3930,+ 100000,nieve,ciudad,Otros,Asturias,"Si, pequeña",diesel,viajes largos,Manual,No
3931,20000 - 35000,buen clima,montaña,Otros,Baleares,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3932,60000 - 100000,nieve,ciudad,Comercio,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
3933,35000-60000,buen clima,playa,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3934,+ 100000,nieve,montaña,Salud,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si
3935,60000 - 100000,nieve,montaña,Transporte y Logística,Andalucía,No,diesel,uso particular ocasional,Automatico,Si
3936,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3937,12000 - 20000,buen clima,ciudad,Salud,Aragón,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
3938,12000 - 20000,buen clima,montaña,Otros,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,No
3939,12000 - 20000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
3940,12000 - 20000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3941,60000 - 100000,buen clima,montaña,Entretenimiento y Medios,Galicia,No,hibrido,uso particular ocasional,Manual,No
3942,35000-60000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",hibrido,uso particular ocasional,Automatico,Si
3943,20000 - 35000,nieve,ciudad,Tecnología,Andalucía,"Si, grande",diesel,viajes largos,Manual,No
3944,20000 - 35000,buen clima,montaña,Salud,Asturias,No,diesel,uso particular habitual,Automatico,Si
3945,20000 - 35000,buen clima,ciudad,Salud,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
3946,12000 - 20000,buen clima,montaña,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3947,60000 - 100000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3948,+ 100000,buen clima,montaña,Tecnología,Canarias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
3949,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
3950,+ 100000,buen clima,ciudad,Comercio,Baleares,No,diesel,uso particular ocasional,Manual,No
3951,12000 - 20000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
3952,60000 - 100000,nieve,playa,Entretenimiento y Medios,Baleares,No,diesel,uso particular ocasional,Automatico,Si
3953,60000 - 100000,buen clima,montaña,Comercio,Aragón,"Si, pequeña",diesel,viajes largos,Manual,Si
3954,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular habitual,Automatico,No
3955,20000 - 35000,nieve,montaña,Salud,Andalucía,No,diesel,uso particular ocasional,Manual,Si
3956,+ 100000,buen clima,montaña,Energía,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
3957,60000 - 100000,nieve,ciudad,Energía,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
3958,20000 - 35000,nieve,montaña,Servicios Financieros,Murcia,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
3959,35000-60000,buen clima,montaña,Turismo y Ocio,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si
3960,20000 - 35000,nieve,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
